Type;Country;Element;Year;Fuelwood_removal_m3_yr;Roundwood_removal_m3_yr;Charcoal_removal_tonnes_yr;Charcoal_removal_m3_yr;Description;Reference
Forestry Production and Trade;Czech Republic;Production;2014;2111000;15476000;6000;36000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Czech Republic;Production;2015;2336000;16163000;6000;36000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Czech Republic;Production;2016;2344000;17617000;6000;36000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Czech Republic;Production;2017;2376000;19387000;7983;47898;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Hungary;Production;2014;2679404;5798162;0;0;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Hungary;Production;2015;2679171;5743969;0;0;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Hungary;Production;2016;2636150;5586169;0;0;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Hungary;Production;2017;2636150;5586169;0;0;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Romania;Production;2014;4859293;15329913;16461;98766;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Romania;Production;2015;5079301;15314700;6000;36000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Romania;Production;2016;5163781;15116714;2282;13692;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Romania;Production;2017;4849102;15500478;1220;7320;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Serbia;Production;2014;6289000;7583000;23000;138000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Serbia;Production;2015;6306000;7655000;22000;132000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Serbia;Production;2016;6376000;7915000;27000;162000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Serbia;Production;2017;6436000;7789000;28000;168000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovakia;Production;2014;560060;9167980;4200;25200;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovakia;Production;2015;559794;8994604;4000;24000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovakia;Production;2016;515173;9266868;3500;21000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovakia;Production;2017;591109;9361492;4000;24000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovenia;Production;2014;1588660;5099340;0;0;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovenia;Production;2015;1242229;5054443;500;3000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovenia;Production;2016;1271712;5381391;500;3000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
Forestry Production and Trade;Slovenia;Production;2017;1038843;4509048;500;3000;Aggregate, may include official, semi-official, estimated or calculated data;FAOSTAT, 2019
