CountryCode;Country;ItemCode;Item;Year;Area_ha;Flag;FlagDescription
11;Austria;6602;Agriculture;2014;2714200;Fc;Calculated data
11;Austria;6602;Agriculture;2015;2718450;Fc;Calculated data
11;Austria;6602;Agriculture;2017;2654620;Fc;Calculated data
11;Austria;6670;Other land;2014;1670900;Fc;Calculated data
11;Austria;6670;Other land;2015;1664850;Fc;Calculated data
11;Austria;6670;Other land;2016;1713130;Fc;Calculated data
11;Austria;6670;Other land;2017;1728680;Fc;Calculated data
11;Austria;6601;Land area;2015;8252300;Fm;Manual Estimation
11;Austria;6601;Land area;2016;8252300;Fm;Manual Estimation
11;Austria;6601;Land area;2017;8252300;Fm;Manual Estimation
11;Austria;6656;Perm, meadows & pastures - Cultivated;2015;871000;Fm;Manual Estimation
11;Austria;6659;Perm, meadows & pastures - Nat, growing;2015;435860;Fm;Manual Estimation
11;Austria;6663;Forestry;2014;3867200;Fm;Manual Estimation
11;Austria;6663;Forestry;2016;3869000;Fm;Manual Estimation
11;Austria;6663;Forestry;2017;3869000;Fm;Manual Estimation
11;Austria;6646;Forest land;2014;3867200;Fm;Manual Estimation
11;Austria;6646;Forest land;2016;3869000;Fm;Manual Estimation
11;Austria;6646;Forest land;2017;3869000;Fm;Manual Estimation
11;Austria;6714;Primary Forest;2014;114000;Fm;Manual Estimation
11;Austria;6714;Primary Forest;2016;114000;Fm;Manual Estimation
11;Austria;6714;Primary Forest;2017;114000;Fm;Manual Estimation
11;Austria;6717;Other naturally regenerated forest;2014;2060400;Fm;Manual Estimation
11;Austria;6717;Other naturally regenerated forest;2016;2063000;Fm;Manual Estimation
11;Austria;6717;Other naturally regenerated forest;2017;2063000;Fm;Manual Estimation
11;Austria;6716;Planted Forest;2014;1692800;Fm;Manual Estimation
11;Austria;6716;Planted Forest;2016;1692000;Fm;Manual Estimation
11;Austria;6716;Planted Forest;2017;1692000;Fm;Manual Estimation
11;Austria;6680;Inland waters;2015;135600;Fm;Manual Estimation
11;Austria;6680;Inland waters;2016;135600;Fm;Manual Estimation
11;Austria;6680;Inland waters;2017;135600;Fm;Manual Estimation
11;Austria;6690;Land area equipped for irrigation;2014;113000;Fm;Manual Estimation
11;Austria;6690;Land area equipped for irrigation;2015;106000;Fm;Manual Estimation
11;Austria;6690;Land area equipped for irrigation;2017;99800;Fm;Manual Estimation
11;Austria;6616;Land area actually irrigated;2016;38200;Fm;Manual Estimation
11;Austria;6600;Country area;2014;8387900;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6600;Country area;2015;8387900;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6600;Country area;2016;8387900;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6600;Country area;2017;8387900;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6601;Land area;2014;8252300;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6602;Agriculture;2016;2670170;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6610;Agricultural land;2014;2714200;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6610;Agricultural land;2015;2718450;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6610;Agricultural land;2016;2670170;Q;Official data reported on FAO Questionnaires from countries
11;Austria;6610;Agricultural land;2017;2654620;Q;Official data reported on FAO Questionnaires from countries
