Genera;Species;MAI-MIN;MAI-AVG;MAI-MAX;NumberObservations
Acacia;auriculiformis;9;14;18;27
Acacia;magnium;15;24;37;33
Acacia;mearnsii;12;14;24;13
Albizia;falcataria;23;29;48;25
Alnus;acuminata;10;12;15;7
Anthocephalus;chinensis;8;14;34;11
Araucaria;angustifolia;8;11;16;33
Araucaria;cunninghamii;10;11;24;13
Azadirachta;indica;4;5;19;21
Casuarina;equisetifolia;6;10;18;19
Cupressus;lusitiana;8;17;25;37
Dalbergia;sissoo;4;9;10;15
Eucalyptus;brassiana;6;15;21;17
Eucalyptus;camaldulensis;10;14;21;123
Eucalyptus;citriodora;8;19;21;27
Eucalyptus;deglupta;17;27;35;33
Eucalyptus;globulus;8;18;29;92
Eucalyptus;gomphocephala;7;16;22;13
Eucalyptus;grandis;14;27;35;116
Eucalyptus;nitens;9;15;21;8
Eucalyptus;occidentalis;2;3;6;9
Eucalyptus;paniculata;9;13;18;13
Eucalyptus;regnans;11;22;23;9
Eucalyptus;resinifera;10;11;18;6
Eucalyptus;robusta;11;18;28;32
Eucalyptus;saligna;13;22;48;32
Eucalyptus;tereticornis;9;16;25;57
Eucalyptus;urophylla;20;25;40;16
Eucalyptus;viminalis;10;16;26;11
Gmelina;arborea;16;20;28;84
Grevillea;robusta;5;12;16;7
Leucaena;leucocephala;18;24;42;53
Maesopsis;eminii;8;23;32;10
Nauclea;diderichii;3;8;10;9
Pinus;canariensis;8;11;18;10
Pinus;caribaea var. caribaea;10;13;23;19
Pinus;caribaea var. hondurensis;15;16;22;152
Pinus;elliottii;10;20;24;54
Pinus;halepensis;5;7;9;19
Pinus;kesiya;11;19;21;59
Pinus;merkusii;11;21;24;13
Pinus;oocarpa;10;14;32;17
Pinus;patula;11;20;30;94
Pinus;pinaster;5;12;15;80
Pinus;ponderosa;5;18;21;10
Pinus;pseudostrobus;15;23;30;9
Pinus;radiata;13;23;26;47
Pinus;roxburghii;6;9;11;10
Pinus;taeda;12;19;30;38
Shorea;robusta;4;6;9;10
Swietenia;macrophylla;8;9;13;133
Swietenia;mahogani;4;7;9;9
Tectona;grandis;7;8;13;262
Terminalia;brassii;18;19;27;7
Terminalia;ivorensis;8;13;15;21
Terminalia;superba;10;14;16;12
Triplochiton;scleroxylon;6;13;15;10
