Domain;Tree_type;BCEF_ton_per_m3_wood;GrowingStockLevel_m3_per_ha_less_20;GrowingStockLevel_m3_per_ha_21_to_40;GrowingStockLevel_m3_per_ha_41_to_100;GrowingStockLevel_m3_per_ha_101_to_200;GrowingStockLevel_m3_per_ha_more_200;Reference
Temperate;hardwoods;BCEF_S;3;1.7;1.4;1.05;0.8;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2004
Temperate;hardwoods;BCEF_I;1.5;1.3;0.9;0.6;0.48;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2005
Temperate;hardwoods;BCEF_R;3.33;1.89;1.55;1.17;0.89;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2006
Temperate;pines;BCEF_S;1.8;1;0.75;0.7;0.7;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2007
Temperate;pines;BCEF_I;1.5;0.75;0.6;0.67;0.69;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2008
Temperate;pines;BCEF_R;2;1.11;0.83;0.77;0.77;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2009
Temperate;other conifers;BCEF_S;3;1.4;1;0.75;0.7;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2010
Temperate;other conifers;BCEF_I;1;0.83;0.57;0.53;0.6;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2011
Temperate;other conifers;BCEF_R;3.33;1.55;1.11;0.83;0.77;Fang J. et al., 2001. Fukuda M. et al., 2003, Schroeder P. et al., 1997, Snowdon P. et.al., 2000. Smith J. et. al., 2002, Brown S., 1999, Schoene D. and A. Schulte, 1999, Smith J. et al., 2012
Boreal;pines;BCEF_S;1.2;0.68;0.57;0.5;0.5;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2001
Boreal;pines;BCEF_I;0.47;0.46;0.46;0.463;0.463;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2002
Boreal;pines;BCEF_R;1.33;0.75;0.63;0.55;0.55;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2003
Boreal;larch;BCEF_S;1.22;0.78;0.77;0.77;0.77;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2004
Boreal;larch;BCEF_I;0.9;0.75;0.77;0.77;0.77;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2005
Boreal;larch;BCEF_R;1.35;0.87;0.85;0.85;0.85;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2006
Boreal;firs;BCEF_S;1.16;0.66;0.58;0.53;0.53;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2007
Boreal;firs;BCEF_I;0.55;0.47;0.47;0.464;0.464;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2008
Boreal;firs;BCEF_R;1.29;0.73;0.64;0.59;0.59;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2009
Boreal;spruces;BCEF_S;1.16;0.66;0.58;0.53;0.53;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2010
Boreal;spruces;BCEF_I;0.55;0.47;0.47;0.464;0.464;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2011
Boreal;spruces;BCEF_R;1.29;0.73;0.64;0.59;0.59;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2012
Boreal;hardwoods;BCEF_S;0.9;0.7;0.62;0.55;0.55;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2013
Boreal;hardwoods;BCEF_I;0.65;0.54;0.52;0.505;0.505;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2014
Boreal;hardwoods;BCEF_R;1;0.77;0.69;0.61;0.61;Alexeyev V.A. and R.A. Birdseye, 1998, Fang J. and Z.M. Wang, 2015
