Domain;Moisture_regime;Level;Continent;Factor_type;Factor_IPCC;Factor_lower;Factor_upper;References;Description
Boreal;Dry;Long-term cultivated;worldwide;land use;0.8;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
Boreal;Moist;Long-term cultivated;worldwide;land use;0.69;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
Temperate;Dry;Long-term cultivated;worldwide;land use;0.8;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
Temperate;Moist;Long-term cultivated;worldwide;land use;0.69;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
Tropical;Dry;Long-term cultivated;worldwide;land use;0.58;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
Tropical;Moist;Long-term cultivated;worldwide;land use;0.48;;;IPCC, 2006;Represents area that has been continuously managed for >20 yrs, to predominantly annual crops. Input and tillage factors are also applied to estimate carbon stock changes. Land-use factor was estimated relative to use of full tillage and nominal (‘medium”) carbon input levels.
All;Dry;Paddy rice;worldwide;land use;1.1;;;IPCC, 2006;Long-term (> 20 year) annual cropping of wetlands (paddy rice). Can include double-cropping with nonflooded crops. For paddy rice, tillage and input factors are not used.
All;Moist;Paddy rice;worldwide;land use;1.1;;;IPCC, 2006;Long-term (> 20 year) annual cropping of wetlands (paddy rice). Can include double-cropping with nonflooded crops. For paddy rice, tillage and input factors are not used.
All;Dry;Perennial Crop;worldwide;land use;1;;;IPCC, 2006;Long-term perennial tree crops such as fruit and nut trees, coffee and cacao
All;Moist;Perennial Crop;worldwide;land use;1;;;IPCC, 2006;Long-term perennial tree crops such as fruit and nut trees, coffee and cacao
Boreal;Dry;Set aside;worldwide;land use;0.93;;;IPCC, 2006;Represents temporary set aside of annually cropland (e.g., conservation reserves) or other idle cropland that has been revegetated with perennial grasses.
Boreal;Moist;Set aside;worldwide;land use;0.82;;;IPCC, 2006;Represents temporary set aside of annually cropland (e.g., conservation reserves) or other idle cropland that has been revegetated with perennial grasses.
Temperate;Dry;Set aside;worldwide;land use;0.93;;;IPCC, 2006;Represents temporary set aside of annually cropland (e.g., conservation reserves) or other idle cropland that has been revegetated with perennial grasses.
Temperate;Moist;Set aside;worldwide;land use;0.82;;;IPCC, 2006;Represents temporary set aside of annually cropland (e.g., conservation reserves) or other idle cropland that has been revegetated with perennial grasses.
