Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A2000;bovine animals;THS_HD;AT11;21.7;21.49;22.04;21.65;22.03;21.61;20.98;20.93;20.43;20.43;19.88;19.2;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;AT11;4.8;4.69;4.49;4.63;4.38;4.31;4.3;4.28;3.99;3.92;3.94;3.69;;;;;;;;;;;;
A3100;pigs;THS_HD;AT11;66.3;65.14;62.66;58.44;48.87;49.5;49.71;42.24;46.52;44.18;44.71;43.59;;;;;;;;;;;;
A4100;sheep;THS_HD;AT11;4.5;4.91;5.39;5.53;5.83;5.99;5.63;4.6;5.22;5.63;6.08;6.17;;;;;;;;;;;;
A4200;goats;THS_HD;AT11;1.9;745;1.03;927;1.16;1.1;1000;0.91;0.94;1.09;1.24;1.32;;;;;;;;;;;;
A2000;bovine animals;THS_HD;AT12;452.4;449.7;456.97;453.81;449.62;443.94;446.08;446.87;442.58;438.55;436.44;429.03;;;;;;;;;;;;
A2300F;dairy cows;THS_HD;AT12;103.7;104.07;105.25;105.16;104.21;102.46;104.13;104.69;102.65;103.59;104.31;102.09;;;;;;;;;;;;
A3100;pigs;THS_HD;AT12;928.5;844.76;866.59;878.21;822.71;812.42;NaN;788.88;773.78;754.72;756.65;761.61;;;;;;;;;;;;
A4100;sheep;THS_HD;AT12;66;64.6;64.74;68.14;70.6;73.14;73.63;70.16;71.36;76.79;79.49;80.56;;;;;;;;;;;;
A4200;goats;THS_HD;AT12;12.3;12.97;14.83;15.43;15.45;14.82;14.98;14.81;15.35;14.93;16.56;16.45;;;;;;;;;;;;
A2000;bovine animals;THS_HD;AT13;0.2;0.12;0.11;0.12;0.13;0.11;0.09;0.1;0.07;0.1;0.08;0.08;;;;;;;;;;;;
