EmissionsSource;Area;EmissionsType_code;EmissionsType;EmissionsProcess_code;EmissionsProcess;Year;Unit;Emissions_gigagrams_per_year;Emissions_ton_per_year;Description
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2012;gigagrams;153.5972;153597.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2012;gigagrams;3225.5419;3225541.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2012;gigagrams;3225.5419;3225541.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2013;gigagrams;152.3007;152300.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2013;gigagrams;3198.3139;3198313.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2013;gigagrams;3198.3139;3198313.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2014;gigagrams;152.7942;152794.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2014;gigagrams;3208.6773;3208677.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2014;gigagrams;3208.6773;3208677.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2015;gigagrams;153.0951;153095.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2015;gigagrams;3214.9965;3214996.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2015;gigagrams;3214.9965;3214996.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2016;gigagrams;152.8566;152856.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2016;gigagrams;3209.988;3209988;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2016;gigagrams;3209.988;3209988;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5058;Enteric Fermentation;2017;gigagrams;153.1058;153105.8;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5058;Enteric Fermentation;2017;gigagrams;3215.2215;3215221.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5058;Enteric Fermentation;2017;gigagrams;3215.2215;3215221.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5059;Manure Management;2012;gigagrams;40.3133;40313.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5059;Manure Management;2012;gigagrams;1303.5586;1303558.6;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5059;Manure Management;2012;gigagrams;846.5791;846579.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5059;Manure Management;2012;gigagrams;456.9795;456979.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5059;Manure Management;2012;gigagrams;1.4741;1474.1;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5059;Manure Management;2013;gigagrams;40.0455;40045.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5059;Manure Management;2013;gigagrams;1295.1157;1295115.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5059;Manure Management;2013;gigagrams;840.9545;840954.5;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5059;Manure Management;2013;gigagrams;454.1612;454161.2;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7230;Emissions (N2O);5059;Manure Management;2013;gigagrams;1.465;1465;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7225;Emissions (CH4);5059;Manure Management;2014;gigagrams;39.6477;39647.7;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7231;Emissions (CO2eq);5059;Manure Management;2014;gigagrams;1286.1689;1286168.9;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7244;Emissions (CO2eq) from CH4;5059;Manure Management;2014;gigagrams;832.6023;832602.3;Aggregate, may include official, semi-official, estimated or calculated data
Agriculture Total;Austria;7243;Emissions (CO2eq) from N2O;5059;Manure Management;2014;gigagrams;453.5666;453566.6;Aggregate, may include official, semi-official, estimated or calculated data
