Country;Element;Item Code;Item;Year;Unit;Applied_fertilizer_cropland_kg_per_ha;Flag;data_quality
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;60.28;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;60.48;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;74.63;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;76.49;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;81.66;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;85.31;Fc;Calculated data
Austria;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;82.61;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;80.64;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;108.8;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;70.48;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;80.9;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;82.09;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;83.26;Fc;Calculated data
Bulgaria;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;89.34;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;118.78;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;142.75;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;108.47;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;82.08;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;82.71;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;95.07;Fc;Calculated data
Croatia;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;76.61;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;73.45;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;76.55;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;105.06;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;130.35;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;129.64;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;156.6;Fc;Calculated data
Czechia;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;159.13;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;148.32;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;135.85;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;137.01;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;138.73;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;150.97;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;141.91;Fc;Calculated data
Germany;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;138.66;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;59.51;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;66.28;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;68.34;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;76.24;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;72.56;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;79.6;Fc;Calculated data
Hungary;Use per area of cropland;3102;Nutrient nitrogen N (total);2016;kg/ha;81.34;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2010;kg/ha;7.23;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2011;kg/ha;6.17;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2012;kg/ha;6.75;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2013;kg/ha;113.06;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2014;kg/ha;96.41;Fc;Calculated data
Montenegro;Use per area of cropland;3102;Nutrient nitrogen N (total);2015;kg/ha;93.32;Fc;Calculated data
