Code	FishSpecies
AAA	Adriatic sturgeon - Acipenser naccarii
AAO	Atlantic sturgeon - Acipenser oxyrinchus
AAS	Noble crayfish - Astacus astacus
ABJ	Japanese abalone - Haliotis discus
ABX	Abalones nei - Haliotis spp
ACH	Arctic char - Salvelinus alpinus
ALR	Bleak - Alburnus alburnus
AMB	Greater amberjack - Seriola dumerili
APB	Siberian sturgeon - Acipenser baerii
APE	Starry sturgeon - Acipenser stellatus
APG	Danube sturgeon - Acipenser gueldenstaedti
APN	White sturgeon - Acipenser transmontanus
APR	Sterlet sturgeon - Acipenser ruthenus
APU	Sturgeon - Acipenser sturio
ASR	Harpoon seaweeds - Asparagopsis spp
ASU	Asp - Aspius aspius
ATB	Big-scale sand smelt - Atherina boyeri
AUP	White-clawed crayfish - Austropotamobius pallipes
AYS	Euro-American crayfishes nei - Astacidae, Cambaridae
BAH	Bastard halibut - Paralichthys olivaceus
BFT	Atlantic bluefin tuna - Thunnus thynnus
BIC	Bighead carp - Hypophthalmichthys nobilis
BKC	Black carp - Mylopharyngodon piceus
BSC	Bluespotted seabream - Sparus caeruleostictus
BSE	Seabasses nei - Dicentrarchus spp
BSS	European seabass - Dicentrarchus labrax
BTT	Batasio batasio (tonnes)
BUF	Buffalofishes nei - Ictiobus spp
CAF	Catfishes nei - Ictalurus spp
CGO	Goldfish - Carassius auratus
CHR	Chars nei - Salvelinus spp
CIJ	Peled - Coregonus peled
CIQ	Broad whitefish - Coregonus nasus
CLH	Northern quahog(=Hard clam) - Mercenaria mercenaria
CLJ	Japanese carpet shell - Ruditapes philippinarum
CLS	Soft clam - Mya arenaria
CLV	Venus clams nei - Veneridae
CLX	Clams etc, nei - Bivalvia
CLZ	North African catfish - Clarias gariepinus
COB	Shi drum - Umbrina cirrosa
COC	Common edible cockle - Cerastoderma edule
COD	Atlantic cod - Gadus morhua
COH	Coho(=Silver)Salmon - Oncorhynchus kisutch
CPR	Common prawn - Palaemon serratus
CRA	Marine crabs nei - Brachyura
CRD	Danube crayfish - Astacus leptodactylus
CRG	Green crab - Carcinus maenas
CRP	Red claw crayfish - Cherax quadricarinatus
CRU	Marine crustaceans nei - Crustacea
CTC	Common cuttlefish - Sepia officinalis
CTG	Grooved carpet shell - Tapes decussatus
CTO	Torpedo-shaped catfishes nei - Clarias spp
CTS	Carpet shell - Venerupis pullastra
CWG	Prussian carp - Carassius gibelio
DEC	Common dentex - Dentex dentex
DEP	Pink dentex - Dentex gibbosus
DIN	Solitary Tube Worm - Diopatra neapolitana
DRU	Meagres nei - Sciaena spp
ELE	European eel - Anguilla anguilla
EQE	Pod razor shell - Ensis ensis
F00	All aquatic organisms
F01	Aquatic animals
F02	Freshwater and diadromous fishes
F04	Crustaceans and molluscs
F07	Finfish
F08	Finfish and invertebrates
F10	Freshwater fishes
F11	Carps, barbels and other cyprinids
F12	Tilapias and other cichlids
F13	Miscellaneous freshwater fishes
F20	Diadromous fishes
F21	Sturgeons, paddlefishes
F22	River eels
F23	Salmons, trouts, smelts
F25	Miscellaneous diadromous fishes
F30	Marine fishes
F31	Flounders, halibuts, soles
F32	Cods, hakes, haddocks
F33	Miscellaneous coastal fishes
F36	Tunas, bonitos, billfishes
F37	Miscellaneous pelagic fishes
F39	Marine fishes not identified
F40	Crustaceans
F41	Freshwater crustaceans
F42	Crabs, sea-spiders
F45	Shrimps, prawns
F47	Miscellaneous marine crustaceans
F50	Molluscs
F51	Freshwater molluscs
F52	Abalones, winkles, conchs
F53	Oysters
F54	Mussels
F55	Scallops, pectens
F56	Clams, cockles, arkshells
F57	Squids, cuttlefishes, octopuses
F58	Miscellaneous marine molluscs
F70	Miscellaneous aquatic animals
F71	Frogs and other amphibians
F77	Miscellaneous aquatic invertabrates
F90	Aquatic plants
F91	Brown seaweeds
F92	Red seaweeds
F93	Green seaweeds
F94	Miscellaneous aquatic plants
FBM	Freshwater bream - Abramis brama
FBU	Burbot - Lota lota
FCC	Crucian carp - Carassius carassius
