aquameth	aquaenv	species	fishreg	unit	geo	value_2017	value_2016	value_2015	value_2014	value_2013	value_2012	value_2011	value_2010	value_2009	value_2008
TOTAL	FRW	ACH	5	EUR	AT	2196051.102	1530715.46	2123065.21	1620931.54	1258204.5	1036572.31	1238793.51	563475.9	378532	106067
TOTAL	FRW	AYS	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	BIC	5	EUR	AT	1354.9995	nan	1842.48	1715.7	18343.92	1996.7	1502.67	7316.89	nan	0
TOTAL	FRW	BKC	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CAF	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	CHR	5	EUR	AT	1728787.983	1411500.86	1378709.59	1276094.57	293042.55	nan	196424.97	nan	nan	nan
TOTAL	FRW	CLZ	5	EUR	AT	1214747.503	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CWG	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F00	5	EUR	AT	nan	20015205.93	19758998.65	19228553.05	18155536.7	15504703.17	17136113.76	20355962.93	13878544	12741113
TOTAL	FRW	F01	5	EUR	AT	nan	20015205.93	19758998.65	19228553.05	18155536.7	15504703.17	17136113.76	20355962.93	13878544	12741113
TOTAL	FRW	F02	5	EUR	AT	nan	20015205.93	19758834.92	19228565.75	18155546.6	15504715.49	17136109.64	20355962.93	13878544	12741113
TOTAL	FRW	F04	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	F07	5	EUR	AT	nan	20015205.93	19758998.65	19228553.05	18155536.7	15504703.17	17136113.76	20355962.93	13878544	12741113
TOTAL	FRW	F08	5	EUR	AT	nan	20015205.93	19758998.65	19228553.05	18155536.7	15504703.17	17136113.76	20355962.93	13878544	12741113
TOTAL	FRW	F10	5	EUR	AT	nan	3582691.23	3799238.57	3426439.01	4219221.97	3289009.74	3281391.07	3638530.58	2196169	2156471
TOTAL	FRW	F11	5	EUR	AT	nan	2427718.39	2440635.34	nan	2445112.5	2314329.83	2389370.53	2339745.03	1599627	1567019
TOTAL	FRW	F12	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F13	5	EUR	AT	1517112.286	1154972.85	1358540.1	nan	1774105.82	974682.08	892025.3	1298785.55	596542	589452
TOTAL	FRW	F20	5	EUR	AT	nan	16432514.7	15959596.35	15802126.74	13936324.63	12215705.74	13854718.57	16717432.36	11682375	10584642
TOTAL	FRW	F21	5	EUR	AT	142095.6883	125444.73	56199.67	55391.46	31146.01	29959.84	43009	20819.19	7169	6799
TOTAL	FRW	F23	5	EUR	AT	nan	16307069.97	15903516.15	nan	13905181.94	12185731.55	13811703.76	16696613.17	11675206	10577843
TOTAL	FRW	F40	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	F41	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	FBM	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FBU	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FCC	5	EUR	AT	nan	nan	nan	nan	nan	2940.5	nan	nan	nan	nan
TOTAL	FRW	FCG	5	EUR	AT	128327.1046	148430.82	127663.01	119095.12	87778.33	80062.35	99428.74	80485.78	55209	47590
TOTAL	FRW	FCP	5	EUR	AT	2295956.521	2191776.7	2220484.74	2035317.44	2209528.38	2132445.94	2171295.88	2178773.47	1484190	1476598
TOTAL	FRW	FCY	5	EUR	AT	nan	9413.95	nan	nan	nan	9110.81	8622.51	29267.56	20076	19036
TOTAL	FRW	FID	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FPE	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FPI	5	EUR	AT	82979.6861	84284.47	64448.69	90711.34	70791.14	63118.47	119680.44	14633.78	20076	14277
TOTAL	FRW	FPP	5	EUR	AT	163770.1872	151445.14	nan	121421.65	104170.78	115625.8	nan	31228.78	14338	20397
TOTAL	FRW	FRF	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	FRO	5	EUR	AT	13510.3765	11785.23	17060.55	8945.99	4153.94	nan	2500.65	nan	nan	nan
TOTAL	FRW	FSI	5	EUR	AT	nan	919243.23	1153906.13	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FTE	5	EUR	AT	53034.5305	45657.17	50228.78	58455.07	82103.52	nan	nan	36584.45	35133	19036
TOTAL	FRW	HUC	5	EUR	AT	242208.3899	192194.2	237620.42	244296.77	117766.54	180269.96	236655.12	72791.73	30111	28557
TOTAL	FRW	LAT	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	ONA	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	SLX	5	EUR	AT	nan	0	nan	nan	nan	nan	nan	450780.72	421547	375314
TOTAL	FRW	SLZ	5	EUR	AT	nan	27070.87	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	SOM	5	EUR	AT	55614.9098	nan	nan	nan	nan	nan	nan	1252922.98	562128	554778
TOTAL	FRW	SRE	5	EUR	AT	9318.4931	11238	10590.32	6831.92	nan	nan	nan	nan	nan	nan
TOTAL	FRW	STU	5	EUR	AT	142095.6883	125444.73	56230.38	55391.46	31146.01	29959.84	43009	20819.19	7169	6799
TOTAL	FRW	SVC	5	EUR	AT	13868.0848	9416.52	7779.06	14454.74	23253.57	29814.63	29559.25	7316.89	5019	4759
TOTAL	FRW	SVF	5	EUR	AT	3615941.515	3046012.76	2659274.27	2674614.96	2901854.34	2615681.56	2763588.14	3205551.8	2099132	2096863
TOTAL	FRW	TLP	5	EUR	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	TLV	5	EUR	AT	nan	nan	nan	nan	47420.88	nan	nan	nan	nan	nan
