aquameth	aquaenv	species	fishreg	unit	geo	value_2017	value_2016	value_2015	value_2014	value_2013	value_2012	value_2011	value_2010	value_2009	value_2008
TOTAL	FRW	ACH	5	TLW	AT	236.569	192.6	207.52	150.93	141.77	120.06	115.56	45	44	13
TOTAL	FRW	AYS	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	BIC	5	TLW	AT	0.245	nan	0.45	0.3	3.68	0.37	0.28	1	nan	0
TOTAL	FRW	BKC	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CAF	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	CHR	5	TLW	AT	200.528	177.6	186.93	177.73	36.61	nan	23.95	nan	nan	nan
TOTAL	FRW	CLZ	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CWG	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F00	5	TLW	AT	nanc	3485.5	3503.06	3393.31	3238.49	3128.33	2908.89	2167	2141	2087
TOTAL	FRW	F01	5	TLW	AT	nanc	3485.5	3503.06	3393.31	3238.49	3128.33	2908.89	2167	2141	2087
TOTAL	FRW	F02	5	TLW	AT	nanc	3485.5	3503.06	3393.31	3238.49	3128.33	2908.89	2167	2141	2087
TOTAL	FRW	F04	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	F07	5	TLW	AT	nanc	3485.5	3503.06	3393.31	3238.49	3128.33	2908.89	2167	2141	2087
TOTAL	FRW	F08	5	TLW	AT	nanc	3485.5	3503.06	3393.31	3238.49	3128.33	2908.89	2167	2141	2087
TOTAL	FRW	F10	5	TLW	AT	nanc	1022.9	1127.91	996.62	979.34	914.3	840.96	526	472	489
TOTAL	FRW	F11	5	TLW	AT	nan	666.2	674.6	nan	677.96	640.36	652.28	370	368	381
TOTAL	FRW	F12	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F13	5	TLW	AT	nan	356.7	453.3	nan	301.39	273.94	188.68	156	104	108
TOTAL	FRW	F20	5	TLW	AT	nan	2462.6	2375.15	2396.69	2259.15	2214.03	2067.92	1641	1669	1598
TOTAL	FRW	F21	5	TLW	AT	10.556	7.9	3.66	3.08	1.7	1.56	2.57	2	1	1
TOTAL	FRW	F23	5	TLW	AT	nan	2454.7	2371.5	nan	2257.45	2212.47	2065.35	1639	1668	1597
TOTAL	FRW	F40	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	F41	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	FBM	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FBU	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FCC	5	TLW	AT	nan	nan	nan	nan	nan	1.1	nan	nan	nan	nan
TOTAL	FRW	FCG	5	TLW	AT	30.016	34.1	29.39	29.26	26.94	20.66	26.01	11	11	10
TOTAL	FRW	FCP	5	TLW	AT	620.083	607.1	617.92	573.19	619.41	590.24	596	348	345	362
TOTAL	FRW	FCY	5	TLW	AT	nan	1.9	nan	nan	nan	6.24	3.95	4	4	4
TOTAL	FRW	FID	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FPE	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FPI	5	TLW	AT	6.176	6.2	4.87	7.08	5.23	4.72	8.84	2	4	3
TOTAL	FRW	FPP	5	TLW	AT	9.192	8.2	nan	6.71	6.03	6.57	nan	3	2	3
TOTAL	FRW	FRF	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	0
TOTAL	FRW	FRO	5	TLW	AT	3.486	2.8	5.52	2.21	0.92	nan	0.54	nan	nan	nan
TOTAL	FRW	FSI	5	TLW	AT	nan	342.3	440.62	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FTE	5	TLW	AT	7.926	6.5	7.14	8.41	11.6	nan	nan	5	7	4
TOTAL	FRW	HUC	5	TLW	AT	14.689	11.4	14.55	14.32	6.61	10.84	14.57	5	3	3
TOTAL	FRW	LAT	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	ONA	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	SLX	5	TLW	AT	nan	2.6	nan	nan	nan	nan	nan	36	49	46
TOTAL	FRW	SLZ	5	TLW	AT	nan	4.7	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	SOM	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	151	98	102
TOTAL	FRW	SRE	5	TLW	AT	2.441	2.5	3.08	1.88	nan	nan	nan	nan	nan	nan
TOTAL	FRW	STU	5	TLW	AT	10.556	7.9	3.66	3.08	1.7	1.56	2.57	2	1	1
TOTAL	FRW	SVC	5	TLW	AT	15.656	11.3	10.38	11.36	9.92	12.82	12.45	1	1	1
TOTAL	FRW	SVF	5	TLW	AT	550.67	476.9	425.85	430.81	455.15	425.77	392.55	256	244	257
TOTAL	FRW	TLP	5	TLW	AT	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	TLV	5	TLW	AT	1.615	nan	nan	nan	3.13	nan	nan	nan	nan	nan
TOTAL	FRW	TRR	5	TLW	AT	1302.93	1220.4	1185.37	1277.28	1321.61	nan	1270.62	1211	1246	1204
TOTAL	FRW	TRS	5	TLW	AT	396.485	368.5	347.41	334.81	288.71	nan	nan	85	81	73
TOTAL	FRW	WHF	5	TLW	AT	nan	nan	nan	1.97	nan	nan	nan	1	1	1
TOTAL	FRW	AAS	5	TLW	BG	nan	nan	nan	nan	nan	nan	0.05	nan	nan	nan
TOTAL	FRW	ALR	5	TLW	BG	1.006	6.24	11.67	3	6	2.38	6.85	2.97	5.9	3.63
TOTAL	FRW	APB	5	TLW	BG	53.349	47.82	96.18	nan	nan	13.67	19.13	nan	nan	nan
TOTAL	FRW	APE	5	TLW	BG	1.05	1	1.31	nan	nan	nan	6.13	nan	nan	nan
TOTAL	FRW	APG	5	TLW	BG	59.623	146.01	217.02	233	260	278.29	241.07	333.23	255.5	119.75
TOTAL	FRW	APR	5	TLW	BG	0.115	3.14	nan	nan	1	0.55	nan	0.39	4	nan
TOTAL	FRW	AYS	5	TLW	BG	nan	nan	2.02	nan	nan	1.54	1.66	nan	2.9	2.81
TOTAL	FRW	BIC	5	TLW	BG	1662.67	1482.66	1576.04	1273	2227	970.09	1049.15	1294.18	913.5	1083.92
TOTAL	FRW	BKC	5	TLW	BG	0.315	3.63	13.48	1	3	4	0.08	0.04	0.95	nan
TOTAL	FRW	BUF	5	TLW	BG	nan	nan	nan	nan	nan	nan	0.05	nan	nan	nan
TOTAL	FRW	CGO	5	TLW	BG	221.08	223.89	nan	nan	nan	94.06	218.65	167.74	107.8	75.81
TOTAL	FRW	CLZ	5	TLW	BG	342.142	540.74	285.74	nan	nan	nan	1.77	9.73	nan	nan
TOTAL	FRW	COH	5	TLW	BG	4.294	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CRD	5	TLW	BG	5.941	48.55	12.04	nan	nan	3.4	6.63	9.86	nan	nan
TOTAL	FRW	ELE	5	TLW	BG	14.547	5.21	nan	nan	nan	nan	nan	0.25	nan	nan
TOTAL	FRW	F00	5	TLW	BG	9795.997	9068.78	7538.85	6883	6292	6062.18	6344.71	7222.15	7099.77	6655.57
TOTAL	FRW	F01	5	TLW	BG	9795.587	9060.64	7538.85	6883	6292	6062.18	6344.71	7222.15	7099.77	6655.57
TOTAL	FRW	F02	5	TLW	BG	8077.061	9012.09	7524.8	6883	6292	6057.24	6336.37	7212.29	7096.87	6652.76
TOTAL	FRW	F04	5	TLW	BG	1718.526	48.55	14.05	nan	nan	4.94	8.34	9.86	2.9	2.81
TOTAL	FRW	F07	5	TLW	BG	8077.061	9012.09	7524.8	6883	6292	6057.24	6336.37	7212.29	7096.87	6652.76
TOTAL	FRW	F08	5	TLW	BG	9795.587	9060.64	7538.85	6883	6292	6062.18	6344.71	7222.15	7099.77	6655.57
TOTAL	FRW	F10	5	TLW	BG	4926.568	5586.73	4851.15	3766	3137	3048.11	3667.52	3827.65	4103.97	3718.52
TOTAL	FRW	F11	5	TLW	BG	4437.845	4728.77	4255.36	3511	2782	2913.97	3347.9	3584.54	3754.27	3475.56
TOTAL	FRW	F13	5	TLW	BG	488.723	857.96	595.78	255	355	134.15	319.62	243.11	349.7	242.96
TOTAL	FRW	F20	5	TLW	BG	3150.493	3425.37	2673.65	3117	3155	3009.13	2668.85	3384.64	2992.9	2934.24
TOTAL	FRW	F21	5	TLW	BG	155.88	302.52	335.7	247	279	316.91	329.85	448.69	259.5	119.75
TOTAL	FRW	F22	5	TLW	BG	14.547	5.21	nan	nan	nan	nan	nan	0.25	nan	nan
TOTAL	FRW	F23	5	TLW	BG	2980.066	3117.64	2337.95	2870	2876	2692.22	2339	2927.54	2729.1	2814.49
TOTAL	FRW	F25	5	TLW	BG	nan	nan	nan	nan	nan	nan	nan	8.18	4.3	nan
TOTAL	FRW	F40	5	TLW	BG	5.941	48.55	14.05	nan	nan	4.94	8.34	9.86	2.9	2.81
TOTAL	FRW	F41	5	TLW	BG	5.941	48.55	14.05	nan	nan	4.94	8.34	9.86	2.9	2.81
TOTAL	FRW	F50	5	TLW	BG	1712.585	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F54	5	TLW	BG	1712.585	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F90	5	TLW	BG	0.41	8.14	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F93	5	TLW	BG	nan	8.14	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F94	5	TLW	BG	0.41	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	FBM	5	TLW	BG	9.161	9.03	10.88	9	8	7.35	7.3	7.49	0.76	0.08
TOTAL	FRW	FCC	5	TLW	BG	13.727	1.13	nan	nan	nan	0.22	nan	nan	0.03	0.04
TOTAL	FRW	FCG	5	TLW	BG	150.196	261.85	264.28	208	296	170.61	181.51	168.49	176.3	190.15
TOTAL	FRW	FCP	5	TLW	BG	2303.315	2507.88	2142.33	1885	165	1584.36	1804.78	1905.8	2488	2056.12
TOTAL	FRW	FPE	5	TLW	BG	0.129	9.03	37.82	3	11	0.4	1.04	1.78	3.4	2.23
TOTAL	FRW	FPI	5	TLW	BG	4.637	23.2	29.38	nan	nan	5.83	17.42	18.77	29.5	31.95
TOTAL	FRW	FPP	5	TLW	BG	25.246	76.25	69.75	142	175	25.19	17.14	17.63	23.9	15
TOTAL	FRW	FRO	5	TLW	BG	nan	nan	nan	nan	nan	nan	nan	0.02	nan	nan
TOTAL	FRW	FTE	5	TLW	BG	2.934	2.51	3.69	2	2	nan	nan	nan	0.01	nan
TOTAL	FRW	GIP	5	TLW	BG	nan	nan	nan	nan	nan	nan	nan	8.18	4.3	nan
TOTAL	FRW	HLW	5	TLW	BG	nan	8.14	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	HUH	5	TLW	BG	6.263	5.91	8.54	14	18	24.4	63.52	115.07	nan	nan
TOTAL	FRW	ITP	5	TLW	BG	4.827	7.55	63.82	13	4	15.45	183.75	107.99	165	103
TOTAL	FRW	LUH	5	TLW	BG	nan	0.02	0.06	nan	nan	0.04	1.24	2.55	1	12.56
TOTAL	FRW	MSM	5	TLW	BG	1712.585	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	PAM	5	TLW	BG	16.73	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	PTB	5	TLW	BG	nan	nan	nan	nan	nan	0.02	0.56	0.36	nan	nan
TOTAL	FRW	SOM	5	TLW	BG	111.742	201.19	109.27	97	165	87.27	98.5	87.22	127.9	90.78
TOTAL	FRW	SRE	5	TLW	BG	3.022	3.43	6.42	5	6	3.19	4.7	6.38	6.32	2.43
TOTAL	FRW	STU	5	TLW	BG	18.75	98.64	12.65	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	SVC	5	TLW	BG	70.419	226.52	226.52	125	69	77.65	73.03	28.52	53.7	50.82
TOTAL	FRW	SVF	5	TLW	BG	9.253	8.82	8.2	nan	nan	nan	0.18	1.1	2.7	2.71
TOTAL	FRW	SWX	5	TLW	BG	0.41	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	TRR	5	TLW	BG	2956.345	3092.16	2321.84	2865	2858	2651.19	2312.11	2908.69	2700.4	2805.35
TOTAL	FRW	TRS	5	TLW	BG	10.174	16.65	7.91	5	18	41.03	26.71	17.75	26	6.43
TOTAL	FRW	BIC	5	TLW	CZ	492	244	239	289	355	378.7	353.7	318.1	nan	394
TOTAL	FRW	CIJ	5	TLW	CZ	11	4	5	13	8	nan	nan	nan	nan	nan
TOTAL	FRW	ELE	5	TLW	CZ	2	nan	1	nan	nan	1	nan	nan	nan	0
TOTAL	FRW	F00	5	TLW	CZ	21685	20950.1	20200	20163	19360	20762.8	21010	20420	20071	20395
TOTAL	FRW	F01	5	TLW	CZ	21685	20950.1	20200	20163	19360	20762.8	21010	20420	20071	20395
TOTAL	FRW	F02	5	TLW	CZ	21685	20950.1	20200	20163	19360	20762.8	21010	20420	20071	20395
TOTAL	FRW	F07	5	TLW	CZ	21685	20950.1	20200	20163	19360	20762.8	21010	20420	20071	20395
TOTAL	FRW	F08	5	TLW	CZ	21685	20950.1	20200	20163	19360	20762.8	21010	20420	20071	20395
TOTAL	FRW	F10	5	TLW	CZ	20895	20278.9	19583	19456	18670	19991.9	20167	19656	19381	19556
TOTAL	FRW	F11	5	TLW	CZ	19861	19574.3	18834	18765	17858	19134.8	19336	19032	18520	18771
TOTAL	FRW	F12	5	TLW	CZ	nan	nan	nan	nan	nan	nan	nan	nan	6	nan
TOTAL	FRW	F13	5	TLW	CZ	1034	704.6	749	691	812	857.1	831	624	855	785
TOTAL	FRW	F20	5	TLW	CZ	790	671.2	617	707	690	770.9	843	764	690	839
TOTAL	FRW	F22	5	TLW	CZ	2	nan	1	nan	nan	1	nan	nan	nan	0
TOTAL	FRW	F23	5	TLW	CZ	788	671.2	616	707	690	769.9	843	764	690	839
TOTAL	FRW	FCG	5	TLW	CZ	567	489.5	445	337	384	456.1	412	488	409	394
TOTAL	FRW	FCP	5	TLW	CZ	18460	18354	17860	17833	16809	17972	18198	17746	17258	17507
TOTAL	FRW	FPE	5	TLW	CZ	15	22	20	17	20	21	21	18	18	17
TOTAL	FRW	FPI	5	TLW	CZ	93	79	75	82	93	106.1	112	105	94	101
TOTAL	FRW	FPP	5	TLW	CZ	65	53.7	54	71	65	68	67	48	58	58
TOTAL	FRW	FRF	5	TLW	CZ	761	475.9	537	466	573	610	582	406	627	549
TOTAL	FRW	FTE	5	TLW	CZ	158	156.8	152	152	158	166	180	215	252	284
TOTAL	FRW	PLN	5	TLW	CZ	nan	nan	nan	nan	nan	19	28	26	19	24
TOTAL	FRW	SOM	5	TLW	CZ	100	74	63	55	61	52	49	47	58	60
TOTAL	FRW	SVC	5	TLW	CZ	184	330	138	154	152	162	192.3	264.9	601	192
TOTAL	FRW	SVF	5	TLW	CZ	268	300.6	243	267	237	362.9	235	262	145	201
TOTAL	FRW	TLN	5	TLW	CZ	nan	nan	nan	nan	nan	nan	nan	nan	6	nan
TOTAL	FRW	TRR	5	TLW	CZ	507	363.6	368	421	439	380	580	476	526	614
TOTAL	FRW	TRS	5	TLW	CZ	2	3	nan	6	6	8	nan	nan	nan	nan
TOTAL	FRW	AAO	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	AAS	5	TLW	DE	nan	nan	1.4	2.3	nan	nan	nan	nan	nan	nan
TOTAL	FRW	ACH	5	TLW	DE	30.2	nan	nan	nan	nan	56	nan	nan	nan	nan
TOTAL	FRW	APB	5	TLW	DE	183.5	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	APE	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	APG	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	APN	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	APR	5	TLW	DE	nan	11.6	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	BIC	5	TLW	DE	3.8	11.7	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CHR	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	526	525	nan
TOTAL	FRW	CIQ	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CLZ	5	TLW	DE	1060.9	1057.2	1071.6	876.3	nan	nan	319	285	52	124
TOTAL	FRW	CRP	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	CWG	5	TLW	DE	43.6	30.7	20.8	7.6	19.8	nan	nan	nan	nan	nan
TOTAL	FRW	ELE	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	398	385	447
TOTAL	FRW	F00	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	35695	36257	36973
TOTAL	FRW	F01	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	35695	36257	36973
TOTAL	FRW	F02	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	35695	36257	36973
TOTAL	FRW	F04	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F07	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	35695	36257	36973
TOTAL	FRW	F08	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	35695	36257	36973
TOTAL	FRW	F10	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	14170	13615	14329
TOTAL	FRW	F11	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	9634	9887	10855
TOTAL	FRW	F12	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TOTAL	FRW	F13	5	TLW	DE	nan	nan	nan	nan	nan	nan	nan	4536	3728	3474
