Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Unit;Yield_grams_animal;Flag;Flag Description
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;14173;g/An;1417,3;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;14202;g/An;1420,2;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;14274;g/An;1427,4;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;14340;g/An;1434;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1058;Meat, chicken;2018;2018;0.1g/An;13952;g/An;1395,2;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1069;Meat, duck;2014;2014;0.1g/An;25625;g/An;2562,5;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1069;Meat, duck;2015;2015;0.1g/An;19796;g/An;1979,6;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1069;Meat, duck;2016;2016;0.1g/An;24490;g/An;2449;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1069;Meat, duck;2017;2017;0.1g/An;25455;g/An;2545,5;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1069;Meat, duck;2018;2018;0.1g/An;23077;g/An;2307,7;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2014;2014;0.1g/An;40833;g/An;4083,3;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2015;2015;0.1g/An;36226;g/An;3622,6;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2016;2016;0.1g/An;43396;g/An;4339,6;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2017;2017;0.1g/An;42149;g/An;4214,9;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1073;Meat, goose and guinea fowl;2018;2018;0.1g/An;39850;g/An;3985;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2014;2014;0.1g/An;17000;g/An;1700;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2015;2015;0.1g/An;17040;g/An;1704;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2016;2016;0.1g/An;28187;g/An;2818,7;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2017;2017;0.1g/An;26691;g/An;2669,1;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1141;Meat, rabbit;2018;2018;0.1g/An;28763;g/An;2876,3;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1080;Meat, turkey;2014;2014;0.1g/An;100414;g/An;10041,4;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1080;Meat, turkey;2015;2015;0.1g/An;101626;g/An;10162,6;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1080;Meat, turkey;2016;2016;0.1g/An;108947;g/An;10894,7;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1080;Meat, turkey;2017;2017;0.1g/An;105236;g/An;10523,6;Fc;Calculated data
QL;Livestock Primary;11;Austria;5424;Yield/Carcass Weight;1080;Meat, turkey;2018;2018;0.1g/An;116000;g/An;11600;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5424;Yield/Carcass Weight;1058;Meat, chicken;2014;2014;0.1g/An;15391;g/An;1539,1;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5424;Yield/Carcass Weight;1058;Meat, chicken;2015;2015;0.1g/An;15526;g/An;1552,6;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5424;Yield/Carcass Weight;1058;Meat, chicken;2016;2016;0.1g/An;15283;g/An;1528,3;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5424;Yield/Carcass Weight;1058;Meat, chicken;2017;2017;0.1g/An;15326;g/An;1532,6;Fc;Calculated data
