DomainCode;Domain;AreaCode;Country;Element Code;Element;ItemCode;Item;LivestockType;Year;Unit;Production_tonnes;Flag;Flag Description
QL;Livestock Primary;27;Bulgaria;5510;Production;1183;Beeswax;Beehives;2014;tonnes;244559;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1183;Beeswax;Beehives;2015;tonnes;227618;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1183;Beeswax;Beehives;2016;tonnes;219869;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1183;Beeswax;Beehives;2017;tonnes;199438;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1183;Beeswax;Beehives;2014;tonnes;29300;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1183;Beeswax;Beehives;2015;tonnes;20200;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1183;Beeswax;Beehives;2016;tonnes;24700;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1183;Beeswax;Beehives;2017;tonnes;27800;Im;FAO data based on imputation methodology
QL;Livestock Primary;199;Slovakia;5510;Production;1183;Beeswax;Beehives;2014;tonnes;15301;;Official data
QL;Livestock Primary;199;Slovakia;5510;Production;1183;Beeswax;Beehives;2015;tonnes;16660;;Official data
QL;Livestock Primary;199;Slovakia;5510;Production;1183;Beeswax;Beehives;2016;tonnes;16731;;Official data
QL;Livestock Primary;199;Slovakia;5510;Production;1183;Beeswax;Beehives;2017;tonnes;16800;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;6576000;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;6518000;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;7737000;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;7479748;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;1386648;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;1492850;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;1630462;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;1552180;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;109124;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;112901;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;111736;;Official data
QL;Livestock Primary;27;Bulgaria;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;108419;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;96313;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;98695;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;94022;;Official data
QL;Livestock Primary;98;Croatia;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;108149;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;650500;;Official data
QL;Livestock Primary;167;Czechia;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;519400;Im;FAO data based on imputation methodology
QL;Livestock Primary;167;Czechia;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;500200;Im;FAO data based on imputation methodology
QL;Livestock Primary;167;Czechia;5510;Production;1062;Eggs, hen, in shell;Chickens;2017;tonnes;479700;Im;FAO data based on imputation methodology
QL;Livestock Primary;79;Germany;5510;Production;1062;Eggs, hen, in shell;Chickens;2014;tonnes;25812;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;1062;Eggs, hen, in shell;Chickens;2015;tonnes;24103;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;1062;Eggs, hen, in shell;Chickens;2016;tonnes;24741;Fc;Calculated data
