DomainCode;Domain;CountryCode;Country;ElementCode;Element;ItemCode;Item;Year;ImportValue_USD;Flag;Flag Description
RM;Machinery;11;Austria;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;90875000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455014;Harvester and threshers (trade);2007;286946000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;40700000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;11;Austria;5622;Import Value;2455016;Soil working equipment (trade);2007;138054000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;3785000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455014;Harvester and threshers (trade);2007;10651000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;2600000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;80;Bosnia and Herzegovina;5622;Import Value;2455016;Soil working equipment (trade);2007;5117000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;16598000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455014;Harvester and threshers (trade);2007;47297000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;7692000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;27;Bulgaria;5622;Import Value;2455016;Soil working equipment (trade);2007;33422000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;12962000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455014;Harvester and threshers (trade);2007;53626000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;4023000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;98;Croatia;5622;Import Value;2455016;Soil working equipment (trade);2007;24158000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;60320000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455014;Harvester and threshers (trade);2007;236174000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;11377000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;167;Czechia;5622;Import Value;2455016;Soil working equipment (trade);2007;102683000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;299370000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455014;Harvester and threshers (trade);2007;1240381000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;118082000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;79;Germany;5622;Import Value;2455016;Soil working equipment (trade);2007;353271000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;23418000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455014;Harvester and threshers (trade);2007;178082000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;9844000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;97;Hungary;5622;Import Value;2455016;Soil working equipment (trade);2007;83232000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;83810000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455014;Harvester and threshers (trade);2007;305962000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;33862000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;173;Poland;5622;Import Value;2455016;Soil working equipment (trade);2007;126992000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;5427000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455014;Harvester and threshers (trade);2007;11206000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;434000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;146;Republic of Moldova;5622;Import Value;2455016;Soil working equipment (trade);2007;5469000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;53796000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455014;Harvester and threshers (trade);2007;87791000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;17614000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;183;Romania;5622;Import Value;2455016;Soil working equipment (trade);2007;63769000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455017;Agricultural machinery nes (trade);2007;8401000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455014;Harvester and threshers (trade);2007;45924000;W;Data reported on country official publications or web sites (Official) or trade country files
RM;Machinery;272;Serbia;5622;Import Value;2455015;Milking, dairy machinery (trade);2007;4300000;W;Data reported on country official publications or web sites (Official) or trade country files
