DomainCode;Domain;AreaCode;Country;ElementCode;Element;ItemCode;Item;Year;Unit;ProducerPrices_USD_per_ton;Flag;Flag Description
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);515;Apples;2016;USD;386;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);515;Apples;2017;USD;635.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);515;Apples;2018;USD;707;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);526;Apricots;2016;USD;3910.2;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);526;Apricots;2017;USD;3670.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);526;Apricots;2018;USD;4700.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);367;Asparagus;2016;USD;7021.9;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);367;Asparagus;2017;USD;6656.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);367;Asparagus;2018;USD;7490.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);44;Barley;2016;USD;112.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);44;Barley;2017;USD;127.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);44;Barley;2018;USD;148.7;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);176;Beans, dry;2016;USD;5109.3;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);176;Beans, dry;2017;USD;5462;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);176;Beans, dry;2018;USD;5448.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);414;Beans, green;2016;USD;1194.6;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);414;Beans, green;2017;USD;1250.8;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);414;Beans, green;2018;USD;1350.4;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);181;Broad beans, horse beans, dry;2016;USD;161.5;;Official data
PP;Producer Prices - Annual;11;Austria;5532;Producer Price (USD/tonne);181;Broad beans, horse beans, dry;2017;USD;190.4;;Official data
